"UF";"CódigoDoCliente";"CodigoBanheiro";"LocalBanheiro SetorPredio";"TipoBanheiro";"CodigoEquipamento";"CódigoDoProduto";"HoraLiga";"HoraDesliga";"CodigoAroma";"DescriçaoAroma";"UltimaTroca";"Peso Refil";"SoltarNevoa";"PararNevoa"
"SP";418;"14464";"LOJA";;;"ARO-25T";"09:30";"18:30";248;"114 - HAVAIANAS";"14/11/2016";;"96";"180"
"SP";969;"12524";"RECEPÇÃO";;;"ARO-25T";;;117;"96 - LIME BASIL";"07/11/2016";;"60";"180"
"SP";1164;"12490";"RECEPÇÃO- LOBBY";;;"ARO-25T";"07:00";"22:00";117;"96 - LIME BASIL";"22/02/2222";;"90";"180"
"SP";1732;"5842";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"17/11/2016";;"66";"180"
"SP";1846;"14315";"CORREDOR DE INTERLIGAÇÃO ENTRE BLOCO A E B";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"05/12/2016";;"30";"100"
"SP";1846;"14516";"CORREDOR DA MATERNIDADE";;;"ARO-25T";"07:00";"22:00";51;"30 - geovanna baby";"05/12/2016";;"30";"100"
"SP";1846;"14515";"CORREDOR DE ACESSO";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"05/12/2016";;"30";"100"
"SP";1846;"14493";"CORREDOR SETOR DE HEMODINAMICA";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"05/12/2016";;"30";"100"
"SP";1846;"14514";"PRONTO ATENDIMENTO";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"05/12/2016";;"30";"100"
"SP";3217;"13467";"EM FRENTE AO FRALDARIO";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13466";"EM FRENTE AO FRALDARIO";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13468";"AO LADO DAS CASAS BAHIA";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13469";"AO LADO DAS CASAS BAHIA";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13470";"FRALDARIO BEBE";"FRAUDÁRIO";;"ARO-25T";"09:30";"22:30";51;"30 - geovanna baby";"22/02/2222";;"60";"120"
"SP";3217;"13471";"EM FRENTE AO EXTRA";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13472";"EM FRENTE AO EXTRA";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13474";"AO LADO DA PERNAMBUCANAS";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13475";"PRÓXIMO A C&A";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13476";"PRÓXIMO A C&A";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"13477";"PRAÇA DE ALIMENTAÇÃO";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"14141";"AO LADO DA TIM";"MASC";;"ARO-25T";"10:00";"22:00";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3217;"14142";"PRAÇA DE ALIMENTAÇÃO";"FEM";;"ARO-25T";"10:00";"22:00";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3217;"13473";"AO LADO DA PERNAMBUCANAS";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;"14143";"AO LADO DA PREGO";"MASC";;"ARO-25T";"10:00";"22:20";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3267;"12858";"WC SAPATARIA DO FUTURO";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"14221";"FRENTE ELEVADOR SOCIAL ADM";;;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"14222";"WC SAPATARIA";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12859";"WC C&A";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12818";"WC RIACHUELO";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12819";"WC RIACHUELO";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12820";"WC RENNER";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12821";"WC RENNER";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12822";"WC KFC";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12857";"WC SAPATARIA DO FUTURO";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12824";"WC MARISA";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12856";"WC MARISA";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12860";"WC C&A";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3267;"12823";"WC MC DONALDS";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"30";"60"
"SP";3350;"13614";"recepção";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;"14436";"hall da 7ª maternidade";;;"ARO-25T";"07:00";"22:00";51;"30 - geovanna baby";"22/02/2222";;"60";"180"
"SP";3350;"13615";"recepção";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;"13484";"entrada";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;"13486";"cardiologia";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;"13485";"entrada";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;"14435";"centro de diagnóstico porx aos elevadores";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3352;"13285";"RECEPÇÃO MATERNIDADE";;;"ARO-25T";"06:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"60";"180"
"SP";3352;"13286";"RECEPÇÃO ENTRADA HOSPITAL";;;"ARO-25T";"06:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"60";"180"
"SP";3352;"13287";"RECEPÇÃO DO CD";;;"ARO-25T";"06:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"60";"180"
